category,title,description,url
เล่ม 01,01-565 สังฆาทิเสส 13 ภิกษุผู้ประทุษร้ายตระกูล.mp3,,https://drive.google.com/file/d/1ijpotS4xY0v6Wb_8J7aqrCfaiFVJt-7i/view?usp=drivesdk
เล่ม 01,01-488 ธนักกีตาจักร.mp3,,https://drive.google.com/file/d/1GebcKXA5DVnDMElTEGsm640uxJ9PjheG/view?usp=drivesdk
เล่ม 01,01-473 เรื่องหญิงผู้มีบุตรถี่ไม่ต้องการมีบุตร.mp3,,https://drive.google.com/file/d/1ccaH7C7KoUh63efmaZkEbsdvPhWail3O/view?usp=drivesdk
เล่ม 01,01-466 ทรงประชุมสงฆ์บัญญัติสิกขาบท.mp3,,https://drive.google.com/file/d/1ybcZRwcobN_On2YSlQQTQyBX43FoHKcj/view?usp=drivesdk
เล่ม 01,01-524 บทภาชนีย์.mp3,,https://drive.google.com/file/d/1jM55SaGx5U2yM2qx9yd7xhhkBbx-cQIE/view?usp=drivesdk
เล่ม 01,01-496 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1PqfEbf2f7SX_mUiYwzhwC6SI9uPHxH7O/view?usp=drivesdk
เล่ม 01,01-460 เรื่องนาหว่าน.mp3,,https://drive.google.com/file/d/1o_x6jFYLYPegByWMloiXAHUh93S9O0Pp/view?usp=drivesdk
เล่ม 01,01-527 แต่งตั้งเสนาสนปัญญาปกะและภัตตุทเทสกะ.mp3,,https://drive.google.com/file/d/1jqhcUe644boHGTSt3tkYgD7XzTxu5Vja/view?usp=drivesdk
เล่ม 01,01-507 เรื่องฤๅษี 2 พี่น้อง.mp3,,https://drive.google.com/file/d/1UxCNB3DSrmLeD5Dj2D-mnRnE7bavNBT-/view?usp=drivesdk
เล่ม 01,01-455 เรื่องผ้ากัมพลสีแดง.mp3,,https://drive.google.com/file/d/1o2PQbsrDHsV5S-90UWo0wrOGazzaSmyw/view?usp=drivesdk
เล่ม 01,01-514 กรรมวาจาขอให้สงฆ์แสดงพื้นที่สร้างกุฎี.mp3,,https://drive.google.com/file/d/1kZXBUEeGjofDRSUT54eY1EUSRK0U6zpS/view?usp=drivesdk
เล่ม 01,01-489 ขัณฑจักร มีหญิงคนหนึ่งเป็นมูล.mp3,,https://drive.google.com/file/d/1VJsrpO3dFVawryIE-5hx9LnuFC5LIBzZ/view?usp=drivesdk
เล่ม 01,01-535 ความเห็น 4 อย่าง.mp3,,https://drive.google.com/file/d/1b68G_69JBabn6696V7X3sjxP839B_mdt/view?usp=drivesdk
เล่ม 01,01-451 สิกขาบทวิภังค์.mp3,,https://drive.google.com/file/d/1vJpmqhqUQA4CDRXPhFjcikcqbQx1P1mM/view?usp=drivesdk
เล่ม 01,01-512 วิธีแต่งตั้ง และกรรมวาจาแต่งตั้ง.mp3,,https://drive.google.com/file/d/1RyWzMy86tpKMZSCBGNJbnWpTjV1l9JeZ/view?usp=drivesdk
เล่ม 01,01-452 บทภาชนีย์  มาติกา.mp3,,https://drive.google.com/file/d/1KSpWzFfB_aqf8AD31WnXD18KKRtbAxng/view?usp=drivesdk
เล่ม 01,01-457 เรื่องผ้ากัมพลขนยุ่งเหยิง.mp3,,https://drive.google.com/file/d/1IwLPoXKDv9G2jSheaUtaMfcEOzBi-ZtA/view?usp=drivesdk
เล่ม 01,01-554 ทรงประชุมสงฆ์บัญญัติสิกขาบท.mp3,,https://drive.google.com/file/d/1hHkaEFZ6RRXWHyKo4SDR01pFsTXsQSJD/view?usp=drivesdk
เล่ม 01,01-456 เรื่องผ้ากัมพลขนแข็ง.mp3,,https://drive.google.com/file/d/19ZySiECuSGkQklHb81EMajYtqn0FljUt/view?usp=drivesdk
เล่ม 01,01-495 ภิกษุจัดการสำเร็จและบอกคลาดเคลื่อน.mp3,,https://drive.google.com/file/d/1NQsyA9j0a_B4kUNLmtzlUtXZcR3gbxm7/view?usp=drivesdk
เล่ม 01,01-525 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1EqpiG51C2keo_HrSdDIIKBwXZnjRjcSd/view?usp=drivesdk
เล่ม 01,01-498 เรื่องหญิงหลับ.mp3,,https://drive.google.com/file/d/14xuYiUcQH0KGeAqQMfiIWSVtIHoZDk7F/view?usp=drivesdk
เล่ม 01,01-536 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1eQ1iYTmP2EFYwkuWBrzS91WPaMSUbFP4/view?usp=drivesdk
เล่ม 01,01-484 พระอนุบัญญัติ.mp3,,https://drive.google.com/file/d/191mn-v2PP-GWuiKCsBxwL5XldnF30y8u/view?usp=drivesdk
เล่ม 01,01-459 เรื่องผ้าห่มขนยาว.mp3,,https://drive.google.com/file/d/1kyDlEqjRSeJdJSM9RVisY7YawYmoinvj/view?usp=drivesdk
เล่ม 01,01-445 เรื่องใช้บาตรดัน.mp3,,https://drive.google.com/file/d/17QVpOo-1N7sAx70Oq89Sw94VlcuQR-r0/view?usp=drivesdk
เล่ม 01,01-518 ทรงประชุมสงฆ์บัญญัติสิกขาบท.mp3,,https://drive.google.com/file/d/138zOi8c6jzS0GYFX86au03jjy3triASQ/view?usp=drivesdk
เล่ม 01,01-444 เรื่องท่อนไม้.mp3,,https://drive.google.com/file/d/12zkzbKcXQvZhdNByCubwamCwvHKhXyDT/view?usp=drivesdk
เล่ม 01,01-558 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1H1mbE-fAI678Th9hUKGDVmuLBg4DIUrd/view?usp=drivesdk
เล่ม 01,01-483 ทรงประชุมสงฆ์บัญญัติสิกขาบท.mp3,,https://drive.google.com/file/d/1fw8woYjqfXw2QUEmMTOa5pU-2Qyco7Vg/view?usp=drivesdk
เล่ม 01,01-532 พระบัญญัติ.mp3,,https://drive.google.com/file/d/1Gds2i82afFvhinoJ0XCdHws89pIc3Tg5/view?usp=drivesdk
เล่ม 01,01-462 เรื่องมีศรัทธา.mp3,,https://drive.google.com/file/d/1tOKH2E17pSkpSdxU-gl85qwc-5EyUqy6/view?usp=drivesdk
เล่ม 01,01-450 พระบัญญัติ.mp3,,https://drive.google.com/file/d/1QT-MbHjB11yxrSu738rrTo4WobD4AUWM/view?usp=drivesdk
เล่ม 01,01-564 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1NMlb9iCxbI7rTLGvedgTyuvLb2JlhOFq/view?usp=drivesdk
เล่ม 01,01-545 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1t6nJJBIFsprhJnAE41P2C8aSZXbrU_dD/view?usp=drivesdk
เล่ม 01,01-522 วิธีขอสงฆ์แสดงพื้นที่สร้างวิหาร.mp3,,https://drive.google.com/file/d/1NJhA6-cUjTOsLOcgALE9uOhAQU2Imb_A/view?usp=drivesdk
เล่ม 01,01-553 สังฆาทิเสส 11 ภิกษุผู้ประพฤติตาม กล่าวสนับสนุนภิกษุผู้ทำลายสงฆ์.mp3,,https://drive.google.com/file/d/1T1d8i2F0k_5N7s1rAVHwTfSJwnzGa8WH/view?usp=drivesdk
เล่ม 01,01-470 อนาปัตติวาร  ภิกษุต่อไปนี้ไม่ต้องอาบัติ.mp3,,https://drive.google.com/file/d/1zz-PrSAEoL8aytzniKcT3OjOaiZpYwRz/view?usp=drivesdk
เล่ม 01,01-555 พระบัญญัติ.mp3,,https://drive.google.com/file/d/18PPZYK2QWvT45RT5b-z8ZuhDme-cSqRF/view?usp=drivesdk
เล่ม 01,01-487 ภรรยา 10 จำพวก.mp3,,https://drive.google.com/file/d/1PcSXngWSKQP2rK6iZNkS_OTPmpix2vV9/view?usp=drivesdk
เล่ม 01,01-544 บทภาชนีย์.mp3,,https://drive.google.com/file/d/1HLErY5mUMprq1qwZeM1HdEyMOGMSVtx1/view?usp=drivesdk
เล่ม 01,01-529 เรื่องพระเมตติยะและพระภุมมชกะ.mp3,,https://drive.google.com/file/d/1ggXiB9LNsIK-lrKliKUr1Zngn0r01qYB/view?usp=drivesdk
